level,dimensions,model,kg,cq_complexity,n,avg_lexical_cq_selected_schema_label_jaccard,avg_semantic_global_cq_selected_schema_similarity,avg_semantic_requirement_soft_coverage
model__kg__cq_complexity,model|kg|cq_complexity,GPT-5,marveldb_big,complex,8,0.0723,0.5516,0.5594
model__kg__cq_complexity,model|kg|cq_complexity,GPT-5,marveldb_big,moderate,7,0.0814,0.5994,0.5627
model__kg__cq_complexity,model|kg|cq_complexity,GPT-5,marveldb_big,simple,10,0.084,0.6283,0.6859
model__kg__cq_complexity,model|kg|cq_complexity,GPT-5,mcuwiki_small,complex,8,0.1064,0.5831,0.6444
model__kg__cq_complexity,model|kg|cq_complexity,GPT-5,mcuwiki_small,moderate,9,0.1617,0.6765,0.6926
model__kg__cq_complexity,model|kg|cq_complexity,GPT-5,mcuwiki_small,simple,12,0.0896,0.6869,0.7529
model__kg__cq_complexity,model|kg|cq_complexity,GPT-OSS 120B,marveldb_big,complex,9,0.0912,0.5527,0.5473
model__kg__cq_complexity,model|kg|cq_complexity,GPT-OSS 120B,marveldb_big,moderate,9,0.0983,0.5841,0.529
model__kg__cq_complexity,model|kg|cq_complexity,GPT-OSS 120B,marveldb_big,simple,7,0.1206,0.6363,0.6705
model__kg__cq_complexity,model|kg|cq_complexity,GPT-OSS 120B,mcuwiki_small,complex,4,0.047,0.5346,0.5701
model__kg__cq_complexity,model|kg|cq_complexity,GPT-OSS 120B,mcuwiki_small,moderate,7,0.1297,0.6708,0.6505
model__kg__cq_complexity,model|kg|cq_complexity,GPT-OSS 120B,mcuwiki_small,simple,12,0.1136,0.6767,0.7123
model__kg__cq_complexity,model|kg|cq_complexity,Gemini,marveldb_big,complex,9,0.0794,0.5158,0.517
model__kg__cq_complexity,model|kg|cq_complexity,Gemini,marveldb_big,moderate,7,0.0558,0.5741,0.5246
model__kg__cq_complexity,model|kg|cq_complexity,Gemini,marveldb_big,simple,11,0.0711,0.5884,0.6405
model__kg__cq_complexity,model|kg|cq_complexity,Gemini,mcuwiki_small,complex,4,0.0774,0.5721,0.6599
model__kg__cq_complexity,model|kg|cq_complexity,Gemini,mcuwiki_small,moderate,7,0.1313,0.6398,0.6682
model__kg__cq_complexity,model|kg|cq_complexity,Gemini,mcuwiki_small,simple,10,0.0748,0.6652,0.7354
