cq_id,cq_normalized,sparql_query,model_id,kg_id,query_cleaning_status,query_normalization_status,execution_status,syntax_ok,satisfiable,deterministic,qualitative_notes
cq_02,What are all the movies (and/or TV shows) available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?media
WHERE {
  { ?s ns1:movies ?media . }
  UNION
  { ?s ns1:television ?media . }
}",Gemini,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Unclear if media is sufficient to account for all movies and tv shows and only movies and tv shows (this is technically just an arbitrarily chosen variable name; but if we assume the variable name has semantic meaning, the point still stands)
- Also unclear how the movies and television predicates work and if their object is sufficient to get these movies and tv shows (i.e., should the subject be used instead; these predicates lack semantic richness regarding expected subjects and objects)"
cq_02,What are all the movies (and/or TV shows) available?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?media ?label
WHERE {
  VALUES ?mediaType {
    <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie>
    <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/tv>
    <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/web_series>
    <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/documentary>
  }
  ?media rdf:type ?mediaType .
  ?media rdfs:label ?label .
}",Gemini,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Difficult to say whether the mediaTypes are accurate/sufficient; while I would generally consider a documentary a movie or tv show, the categorization of a web_series is less clear"
cq_04,"What are all the associated species or types (e.g., human, Asgardian, AI) for each of the characters?","PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?character ?species
WHERE {
  ?character ns1:species ?species .
}",gpt-oss120b,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE, - Failure to type entities as characters renders it Unclear whether the species of only characters are being considered
cq_04,"What are all the associated species or types (e.g., human, Asgardian, AI) for each of the characters?","PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?character ?characterLabel ?species ?speciesLabel
WHERE {
  ?character ns1:species ?species .
  OPTIONAL { ?character rdfs:label ?characterLabel . }
  OPTIONAL { ?species   rdfs:label ?speciesLabel . }
}
ORDER BY ?characterLabel",gpt-oss120b,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE, - Failure to type entities as characters renders it Unclear whether the species of only characters are being considered
cq_05,"What are all the origin locations (e.g., homeworld, birthplace, base) for each of the characters?","PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?character ?origin
WHERE {
  { ?character ns1:origin ?origin }
  UNION
  { ?character ns1:placeofbirth ?origin }
  UNION
  { ?character ns1:baseofoperations ?origin }
}
ORDER BY ?character",gpt-oss120b,marveldb_big,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Failure to type entities as characters renders it Unclear whether the origins of only characters are being considered
- Unclear whether the origin predicate results in an origin location or some other kind of origin"
cq_05,"What are all the origin locations (e.g., homeworld, birthplace, base) for each of the characters?","PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>

SELECT DISTINCT ?character ?originLocation
WHERE {
  VALUES ?originProp { ns1:homeplanet ns1:birthplace ns1:base }
  ?character ?originProp ?originLocation .
}",gpt-oss120b,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE, - Failure to type entities as characters renders it Unclear whether the origins of only characters are being considered
cq_16,What are all the character–power–movie triples available with respect to characters with specific powers and the movies they appear in?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?character ?power ?movie
WHERE {
  ?character ns1:powers ?power .
  ?character ns1:movies ?movie .
}",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE," - Failure to type entities as characters renders it unclear whether the powers and movies of only characters are being considered
- The predicates powers and movies lack semantic richness; thus, it is difficult to determine if they are being used correctly
- If a character only posesses a particular power in a specific movie, it is unclear how this query accounts for that"
cq_16,What are all the character–power–movie triples available with respect to characters with specific powers and the movies they appear in?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?character ?power ?movie
WHERE {
  ?character a <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character> .
  ?character ?powerProperty ?power .
  ?character ns1:movie ?movie .
  
  FILTER(?powerProperty IN (ns1:alias, ns1:realName) || 
         CONTAINS(STR(?powerProperty), ""power"") || 
         CONTAINS(STR(?powerProperty), ""ability""))
}",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for character type is unusual but not incorrect
- Getting all properties for the power and then filtering them might cause issues; the aliases and realNames are kept which are not powers; a string filter for power or ability in the predicate isn't robust and may not get certain powers or any powers at all
- If a character only posesses a particular power in a specific movie, it is unclear how this query accounts for that"
cq_13,What are all the character–movie appearance pairs (which characters appear in which movies) available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?character ?movie
WHERE {
  ?character ns1:movies ?movie .
}",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Failure to type entities as characters renders it unclear whether the movies of only characters are being considered
- The predicate movies lacks semantic richness; thus, it is difficult to determine if it is being used correctly"
cq_13,What are all the character–movie appearance pairs (which characters appear in which movies) available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?character ?movie
WHERE {
  ?character ns1:movie ?movie .
}",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE, - Failure to type entities as characters renders it Unclear whether the movies of only characters are being considered
cq_22,What are all the available distinct powers and the set of characters associated with each power?,"PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX ns2: <http://dbkwik.webdatacommons.org/ontology/>
PREFIX ns3: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/%3>
PREFIX ns7: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/alternate232%60>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT ?power ?powerLabel (GROUP_CONCAT(DISTINCT ?charLabel; separator="", "") AS ?characters)
WHERE {
  {
    # Characters typed with a power-related class (e.g., Superhuman Agility, Superhuman Durability, Healing Factor)
    ?char a ?power .
    ?power rdfs:label ?powerLabel .
    FILTER(CONTAINS(STR(?power), ""/class/""))
    FILTER(CONTAINS(LCASE(STR(?powerLabel)), ""superhuman"") || CONTAINS(LCASE(STR(?powerLabel)), ""healing""))
  }
  UNION
  {
    # Characters categorized under power categories (e.g., Electrokinesis, Flight)
    ?char dcterms:subject ?power .
    ?power rdfs:label ?powerLabel .
    FILTER(CONTAINS(STR(?power), ""/resource/Category:""))
  }
  ?char rdfs:label ?charLabel .
}
GROUP BY ?power ?powerLabel
ORDER BY LCASE(STR(?powerLabel))",GPT5,marveldb_big,exact_query,schema_prefixes_added,EXECUTION_FAILURE,TRUE,FALSE,FALSE," - Query is difficult to parse
- It doesn't fully make sense to type a character with a power
- Why is superhuman and healing in particular being filtered for?
- No entities are being typed with explicit types; URIs are just being checked to see if they contain specific strings"
cq_22,What are all the available distinct powers and the set of characters associated with each power?,,GPT5,mcuwiki_small,non_sparql_output,unchanged,NON_SPARQL_OUTPUT,FALSE,FALSE,FALSE, - No Query
cq_20,"What are all locations that are associated with at least one character appearance (e.g., origin or major setting)?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?location ?label
WHERE {
  ?char a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/character> ;
        (ns1:placeofbirth|ns1:baseofoperations) ?location .
  FILTER(isIRI(?location))
  OPTIONAL { ?location rdfs:label ?label . }
}
ORDER BY ?label ?location",GPT5,marveldb_big,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for character type is unusual but not incorrect
- Unclear if placeofbirth and baseofoperations account for all locations; may have been better to use any predicate and then filtered by location type"
cq_20,"What are all locations that are associated with at least one character appearance (e.g., origin or major setting)?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>

SELECT DISTINCT ?loc ?locLabel WHERE {
  {
    { ?char rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character> }
    UNION
    { ?char ns1:actor ?actor }
    { ?char ns1:citizenship ?loc }
    UNION
    { ?char ns1:homeplanet ?loc }
  }
  UNION
  {
    { ?char rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character> }
    UNION
    { ?char ns1:actor ?actor }
    ?char ?charWorkProp ?work .
    FILTER(?charWorkProp IN (ns1:movie, ns1:tvSeries))
    ?loc rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/location> ;
         ?locWorkProp ?work .
    FILTER(?locWorkProp IN (ns1:movie, ns1:tvSeries))
  }
  OPTIONAL { ?loc rdfs:label ?locLabel }
}",GPT5,mcuwiki_small,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for character and locations types is unusual but not incorrect
- Getting characters with an actor doesn't fully make sense, unless that's the means of modeling character appearances, but I believe there is a better way to do it
- The latter part, in which all triples are gotten and then filtered for the movie or tvSeries predicates to get specific works and then the locations, is also questionable"
cq_21,What are all the director–actor pairs linked through movies available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?director ?actor WHERE {
  ?work ns1:creators ?director .
  ?work ns1:featured ?character .
  ?character ns1:movies ?actor_entity .
  ?actor_entity rdfs:label ?actor .
}",Gemini,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE," - The lack of typing entities is concerning
- Creators may not be just movie directors, meaning the query gets more than it's supposed to (but if no actors can be found for these works, those works might get filtered out anyway)
- Unclear if the movies predicate relates characters and actors"
cq_21,What are all the director–actor pairs linked through movies available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>

SELECT DISTINCT ?director ?actor
WHERE {
  ?director ns1:directed ?movie .
  ?character ns1:movie ?movie .
  ?character ns1:actor ?actor .
}",Gemini,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - the lack of typing entities is concerning (ignoring the movie predicate due to its semantic shallowness, the directed predicate could be Getting More media than just movies)
- Unlear if the movie predicate relates characters and movies"
cq_15,What are all the character–team–movie triples available where a character is a member of a team and appears in a movie?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT ?character ?team ?movie
WHERE {
  ?character ns1:teams ?team .
  ?character ns1:movies ?movie .
}",Gemini,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - the lack of typing entities is concerning
- Unclear if the teams and movies predicates get teams and movies, respectively"
cq_15,What are all the character–team–movie triples available where a character is a member of a team and appears in a movie?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX class: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/>

SELECT ?character ?team ?movie
WHERE {
    ?character a class:character .
    ?team a class:organization .
    ?movie a class:movie .
    
    ?character ns1:movie ?movie .
    
    { ?team ns1:members ?character . } 
    UNION 
    { ?team ns1:formermembers ?character . } 
    UNION 
    { ?team ns1:leader ?character . }
    UNION 
    { ?team ns1:founder ?character . }
    UNION
    { ?character ns1:team ?team . }
    UNION
    { ?character ns1:affiliation ?team . }
}",Gemini,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Query overall makes sense
- Since the CQ specifically says ""is a member of a team,"" it may have been more appropriate to use only the members and team predicates, as the the other ones may yield characters who have some other realtion to the team"
cq_23,What are all the pairs of characters available that have co-appeared in a movie?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT ?character1 ?character2 ?movie
WHERE {
  ?character1 ns1:movies ?movie .
  ?character2 ns1:movies ?movie .
  FILTER(?character1 != ?character2) .
  FILTER(STR(?character1) < STR(?character2))
}",gpt-oss120b,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - the lack of typing entities is concerning
- the rest of the Query looks fine if the movies predicate actually gets a single movie"
cq_23,What are all the pairs of characters available that have co-appeared in a movie?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?character1 ?character2
WHERE {
  ?movie rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie> .
  ?movie ns1:character ?character1 .
  ?movie ns1:character ?character2 .
  FILTER(?character1 != ?character2)
  FILTER(STR(?character1) < STR(?character2))   # avoid duplicate unordered pairs
}",gpt-oss120b,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE," - Using whole URI for movie type is unusual but not incorrect
- the rest of the Query looks fine"
cq_19,What are all the movies and the set of teams that have at least one member appearing in them?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?movie ?team
WHERE {
  ?character ns1:movies ?movie .
  ?character ns1:teams ?team .
}",gpt-oss120b,marveldb_big,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - the lack of typing entities is concerning
- Unclear how the movies and teams predicates work and whether they both expect a single character as the subject and a single movie or team as the object"
cq_19,What are all the movies and the set of teams that have at least one member appearing in them?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX mc:  <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/>

SELECT DISTINCT ?movie ?team
WHERE {
  # a character (or other entity) that appears in a movie
  ?member a mc:character .
  ?member ns1:movie ?movie .

  # the team that this member belongs to (either via the member’s “team” link
  # or via the team’s “members” link)
  { ?member ns1:team ?team . }
  UNION
  { ?team   ns1:members ?member . }

  # ensure the team is an organization (a “team” in the MCU)
  ?team a mc:organization .
}",gpt-oss120b,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE, - Unsure what the point of checking if a team is an organization is; can some teams not be organizations? Does this ensure only teams are gotten or does it cause some teams to be missed?
cq_25,What are all the movies and their counts for each pair of characters that co-appear in multiple movies?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?char1 ?char2 (COUNT(DISTINCT ?movie) AS ?movieCount) (GROUP_CONCAT(DISTINCT ?movie; separator="", "") AS ?movies)
WHERE {
  ?char1 ns1:movies ?movie .
  ?char2 ns1:movies ?movie .
  FILTER(?char1 != ?char2)
  FILTER(STR(?char1) < STR(?char2))
}
GROUP BY ?char1 ?char2
HAVING (COUNT(DISTINCT ?movie) > 1)
ORDER BY DESC(?movieCount)",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - the lack of typing entities is concerning
- Query makes sense if movies predicate actually gets movies
- Query should be taking two different characters, Getting all the movies they both appear in, and counting this total"
cq_25,What are all the movies and their counts for each pair of characters that co-appear in multiple movies?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?character1 ?character2 (GROUP_CONCAT(DISTINCT ?movie; separator="", "") AS ?movies) (COUNT(DISTINCT ?movie) AS ?movieCount)
WHERE {
  ?character1 ns1:movie ?movie .
  ?character2 ns1:movie ?movie .
  FILTER(?character1 != ?character2)
  FILTER(STR(?character1) < STR(?character2))
}
GROUP BY ?character1 ?character2
HAVING (COUNT(DISTINCT ?movie) > 1)
ORDER BY DESC(?movieCount)",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTION_FAILURE,TRUE,FALSE,FALSE," - The lack of typing entities is concerning
- Query makes sense; should be taking two different characters, getting all the movies they both appear in, and counting this total"
cq_24,How many movies does each character appear in (character appearance count)?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?character (COUNT(DISTINCT ?movie) AS ?appearanceCount)
WHERE {
  ?character ns1:movies ?movie .
}
GROUP BY ?character
ORDER BY DESC(?appearanceCount)",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - the lack of typing entities is concerning
- movies predicate is Unclear"
cq_24,How many movies does each character appear in (character appearance count)?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?character (COUNT(DISTINCT ?movie) AS ?movieCount)
WHERE {
  ?character a <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character> .
  ?character ns1:movie ?movie .
}
GROUP BY ?character
ORDER BY DESC(?movieCount)",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for character type is unusual but not incorrect
- Maybe movie should be typed too"
